layer,best_epoch,best_auc_roc_macro,f1_macro_at_best,min_val_loss,no_phase2,epochs,batch_size,lr,max_train_samples,max_val_samples,seed,n_train,n_val,hidden_size,output_subdir,timestamp
-1,6,0.7850783313216292,0.26589187373446965,0.28983787645267534,False,10,64,0.001,0,5000,42,133290,5000,1408,layer_-1,2026-06-05 16:57:06
-2,10,0.7853561078393049,0.23063727819289018,0.2904137836981423,False,10,64,0.001,0,5000,42,133290,5000,1408,layer_-2,2026-06-05 16:59:27
-3,5,0.7868964425433528,0.2991109105008455,0.2861939219734337,False,10,64,0.001,0,5000,42,133290,5000,1408,layer_-3,2026-06-05 17:01:44
-4,6,0.788780720575793,0.2462811996352237,0.2867539181739469,False,10,64,0.001,0,5000,42,133290,5000,1408,layer_-4,2026-06-05 17:04:02
-5,6,0.7854300898279349,0.2082200538287718,0.2865413504688046,False,10,64,0.001,0,5000,42,133290,5000,1408,layer_-5,2026-06-05 17:06:20
-6,6,0.788246495871519,0.21870480014251753,0.28664464380922194,False,10,64,0.001,0,5000,42,133290,5000,1408,layer_-6,2026-06-05 17:08:41
-7,10,0.7887604141751406,0.265716530324595,0.2852553248028212,False,10,64,0.001,0,5000,42,133290,5000,1408,layer_-7,2026-06-05 17:11:00
-8,9,0.7834714187608023,0.2355589003184512,0.2878454887791525,False,10,64,0.001,0,5000,42,133290,5000,1408,layer_-8,2026-06-05 17:13:14
-9,10,0.783531389062855,0.2342081228732637,0.28715295372884486,False,10,64,0.001,0,5000,42,133290,5000,1408,layer_-9,2026-06-05 17:15:34
-10,9,0.7806765415844066,0.22517853276956284,0.2876899506472334,False,10,64,0.001,0,5000,42,133290,5000,1408,layer_-10,2026-06-05 17:17:57
