nivel,categoria,exp2_disenado_sucio_P,exp2_disenado_sucio_R,exp2_disenado_sucio_F1,exp2_disenado_limpio_P,exp2_disenado_limpio_R,exp2_disenado_limpio_F1,exp2_nuevo_sucio_P,exp2_nuevo_sucio_R,exp2_nuevo_sucio_F1,exp2_nuevo_limpio_P,exp2_nuevo_limpio_R,exp2_nuevo_limpio_F1,phase3_disenado_sucio_P,phase3_disenado_sucio_R,phase3_disenado_sucio_F1,phase3_nuevo_sucio_P,phase3_nuevo_sucio_R,phase3_nuevo_sucio_F1
por_patologia,No Finding,0.4775,0.3603,0.4107,0.4804,0.3938,0.4328,0.4189,0.5063,0.4585,0.4394,0.6611,0.5279,0.4152,0.3713,0.392,0.3908,0.505,0.4406
por_patologia,Enlarged Cardiomediastinum,0.0873,0.4699,0.1472,0.0891,0.4296,0.1476,0.1076,0.3041,0.159,0.1036,0.268,0.1495,0.0902,0.4691,0.1514,0.1193,0.3411,0.1767
por_patologia,Cardiomegaly,0.1552,0.4658,0.2329,0.1552,0.4739,0.2338,0.1553,0.5208,0.2392,0.1484,0.5395,0.2327,0.1691,0.5579,0.2596,0.169,0.5573,0.2593
por_patologia,Lung Opacity,0.224,0.4124,0.2903,0.2348,0.4026,0.2966,0.2109,0.498,0.2963,0.2098,0.5328,0.3011,0.2364,0.444,0.3086,0.2303,0.4569,0.3063
por_patologia,Lung Lesion,0.0339,0.4308,0.0629,0.0365,0.4354,0.0674,0.0337,0.5154,0.0633,0.0353,0.5015,0.066,0.0348,0.4769,0.0649,0.0341,0.5,0.0638
por_patologia,Edema,0.2536,0.1422,0.1822,0.2344,0.2319,0.2332,0.1738,0.089,0.1177,0.1431,0.1464,0.1447,0.2533,0.1666,0.201,0.1831,0.1179,0.1434
por_patologia,Consolidation,0.0465,0.2732,0.0795,0.0572,0.4166,0.1005,0.0511,0.3415,0.0889,0.0501,0.3883,0.0887,0.0487,0.319,0.0844,0.0491,0.3112,0.0849
por_patologia,Pneumonia,0.1733,0.2501,0.2047,0.1836,0.2501,0.2118,0.1686,0.1345,0.1496,0.1693,0.1374,0.1517,0.1513,0.2062,0.1745,0.1759,0.1609,0.1681
por_patologia,Atelectasis,0.1468,0.2531,0.1858,0.1674,0.3089,0.2172,0.1843,0.4129,0.2549,0.1955,0.4347,0.2697,0.1716,0.317,0.2227,0.1882,0.3776,0.2512
por_patologia,Pneumothorax,0.0503,0.1766,0.0782,0.0525,0.2014,0.0834,0.0418,0.2093,0.0696,0.043,0.254,0.0735,0.0529,0.2014,0.0837,0.0381,0.2222,0.0651
por_patologia,Pleural Effusion,0.2882,0.5328,0.374,0.3331,0.5465,0.4139,0.2598,0.4803,0.3372,0.2772,0.5148,0.3604,0.3007,0.606,0.402,0.2694,0.5146,0.3536
por_patologia,Pleural Other,0.0097,0.5249,0.019,0.0112,0.6471,0.0219,0.0108,0.4796,0.0211,0.0113,0.5023,0.022,0.012,0.7104,0.0235,0.0096,0.3846,0.0187
por_patologia,Fracture,0.0259,0.3,0.0477,0.0274,0.3085,0.0504,0.021,0.1957,0.0379,0.0176,0.1255,0.0308,0.022,0.2404,0.0403,0.0184,0.1362,0.0324
por_patologia,Support Devices,0.2306,0.5277,0.321,0.2309,0.5663,0.328,0.3557,0.4434,0.3947,0.3191,0.4696,0.38,0.2374,0.4902,0.3199,0.3885,0.4709,0.4258
general,MICRO (pooled 14 clases),0.1481,0.3764,0.2126,0.1551,0.4056,0.2244,0.1592,0.4048,0.2285,0.1674,0.4539,0.2446,0.1511,0.4032,0.2199,0.1666,0.4102,0.2369
general,MACRO (nanmean 14 clases),0.1573,0.3657,0.1883,0.1638,0.4009,0.2027,0.1567,0.3665,0.192,0.1545,0.3911,0.1999,0.1568,0.3983,0.1949,0.1617,0.3612,0.1993
