Step,Train_Loss,Val_Loss,LR_ViT,LR_Bridge
625,0.3002,0.32933855056762695,3.75240153698367e-06,7.50480307396734e-06
1250,0.2733,0.2919788956642151,7.50480307396734e-06,1.500960614793468e-05
1875,0.2547,0.2806137204170227,1.125720461095101e-05,2.251440922190202e-05
2500,0.248,0.28104862570762634,1.500960614793468e-05,3.001921229586936e-05
3125,0.2447,0.2787725031375885,1.876200768491835e-05,3.75240153698367e-05
3750,0.2401,0.27674219012260437,2.251440922190202e-05,4.502881844380404e-05
4375,0.2416,0.27759280800819397,2.626681075888569e-05,5.253362151777138e-05
5000,0.2412,0.2761998772621155,3.001921229586936e-05,6.003842459173872e-05
5625,0.2216,0.2758011221885681,3.377161383285303e-05,6.754322766570606e-05
6250,0.2441,0.2760748863220215,3.75240153698367e-05,7.50480307396734e-05
6875,0.2457,0.27528318762779236,4.127641690682036e-05,8.255283381364072e-05
7500,0.2372,0.27599209547042847,4.502881844380404e-05,9.005763688760808e-05
8125,0.2385,0.27513882517814636,4.878121998078771e-05,9.756243996157542e-05
8750,0.2412,0.27483734488487244,4.9996089278532274e-05,9.999217855706455e-05
9375,0.2316,0.27557623386383057,4.997593050551173e-05,9.995186101102346e-05
10000,0.24,0.27476266026496887,4.993863254741421e-05,9.987726509482842e-05
10625,0.2379,0.27500230073928833,4.988422099914625e-05,9.97684419982925e-05
11250,0.236,0.27500954270362854,4.981273319944067e-05,9.962546639888134e-05
11875,0.2414,0.2752152979373932,4.972421820523369e-05,9.944843641046738e-05
12500,0.2356,0.27523180842399597,4.961873675800069e-05,9.923747351600138e-05
13125,0.2365,0.27460506558418274,4.949636124207369e-05,9.899272248414738e-05
13750,0.2359,0.27449831366539,4.93571756349692e-05,9.87143512699384e-05
14375,0.2367,0.27530884742736816,4.92012754497605e-05,9.8402550899521e-05
15000,0.232,0.27418816089630127,4.902876766953383e-05,9.805753533906766e-05
15625,0.2384,0.27527347207069397,4.8839770673973665e-05,9.767954134794733e-05
16250,0.2343,0.27567678689956665,4.8634414158127216e-05,9.726882831625443e-05
16875,0.2385,0.27529966831207275,4.841283904340403e-05,9.682567808680807e-05
17500,0.2412,0.2755739092826843,4.817519738087181e-05,9.635039476174362e-05
18125,0.2373,0.2746208608150482,4.7921652246914625e-05,9.584330449382925e-05
18750,0.2376,0.2750605642795563,4.76523776313254e-05,9.53047552626508e-05
19375,0.2379,0.2741561233997345,4.7367558317909146e-05,9.473511663581829e-05
20000,0.2392,0.27493277192115784,4.7067389757679204e-05,9.413477951535841e-05
20625,0.2378,0.27491575479507446,4.675207793473323e-05,9.350415586946645e-05
21250,0.237,0.2773161828517914,4.6421839224901095e-05,9.284367844980219e-05
21875,0.2314,0.27570563554763794,4.607690024726178e-05,9.215380049452356e-05
22500,0.2413,0.27572229504585266,4.571749770863094e-05,9.143499541726187e-05
23125,0.2392,0.2753036320209503,4.534387824112604e-05,9.068775648225208e-05
23750,0.24,0.2741568982601166,4.495629823292053e-05,8.991259646584106e-05
24375,0.2335,0.27449721097946167,4.4555023652303e-05,8.9110047304606e-05
25000,0.2469,0.27485448122024536,4.414032986516231e-05,8.828065973032463e-05
25625,0.2387,0.27409350872039795,4.37125014460238e-05,8.74250028920476e-05
26250,0.2394,0.27492621541023254,4.3271831982766195e-05,8.654366396553239e-05
26875,0.2419,0.2743031978607178,4.2818623875153425e-05,8.563724775030685e-05
27500,0.2363,0.2765887677669525,4.235318812731937e-05,8.470637625463874e-05
28125,0.2386,0.2764553725719452,4.187584413434811e-05,8.375168826869622e-05
28750,0.2353,0.2764797508716583,4.1386919463096006e-05,8.277383892619201e-05
29375,0.2349,0.27632588148117065,4.0886749627406184e-05,8.177349925481237e-05
30000,0.235,0.27515316009521484,4.0375677857869484e-05,8.075135571573897e-05
30625,0.2384,0.2772718369960785,3.985405486628995e-05,7.97081097325799e-05
31250,0.2363,0.27827388048171997,3.932223860501659e-05,7.864447721003318e-05
31875,0.236,0.2765061855316162,3.878059402130642e-05,7.756118804261284e-05
