split,pathology,precision,recall,f1,auroc,support_pos,support_neg,tp,fp,fn,tn
val,No Finding,0.6700636192271442,0.7893275969745334,0.7248223786918151,0.8481198694487322,14411,24041,11375,5601,3036,18440
val,Enlarged Cardiomediastinum,0.11366906474820145,0.7041595925297114,0.19574066426759482,0.7326902418395316,2356,36096,1659,12936,697,23160
val,Cardiomegaly,0.37758675581025153,0.7611346425362598,0.5047667688117127,0.7933153453783761,7791,30661,5930,9775,1861,20886
val,Lung Opacity,0.3677342113139779,0.6979095660077255,0.4816716979652645,0.7294406433766969,8802,29650,6143,10562,2659,19088
val,Lung Lesion,0.07299724370943363,0.5979606700655499,0.1301109350237718,0.722765610569052,1373,37079,821,10426,552,26653
val,Edema,0.38035993740219093,0.812876254180602,0.5182302771855012,0.8612928807818786,5980,32472,4861,7919,1119,24553
val,Consolidation,0.12422901095711487,0.7469458987783595,0.21302805947862877,0.7690789686423728,2292,36160,1712,12069,580,24091
val,Pneumonia,0.25027932960893856,0.6580266113703128,0.3626321302733074,0.7110039442718682,5787,32665,3808,11407,1979,21258
val,Atelectasis,0.4248588295687885,0.7662307603286657,0.546625386996904,0.8012302293245037,8641,29811,6621,8963,2020,20848
val,Pneumothorax,0.14463176574977818,0.7648093841642228,0.24326088984236546,0.8652661972445813,1705,36747,1304,7712,401,29035
val,Pleural Effusion,0.582782475019216,0.8187904967602592,0.6809160305343511,0.8940142943538482,9260,29192,7582,5428,1678,23764
val,Pleural Other,0.0426649163111257,0.5179282868525896,0.07883565797453002,0.771908020093539,502,37950,260,5834,242,32116
val,Fracture,0.03580481622306717,0.5165714285714286,0.06696792354989259,0.6395584381023347,875,37577,452,12172,423,25405
val,Support Devices,0.5898052602994802,0.8573361903687832,0.6988416988416989,0.9028981604652868,8867,29585,7602,5287,1265,24298
test,No Finding,0.6771841759292458,0.796793699901561,0.7321359348753069,0.8528601697697369,7111,11780,5666,2701,1445,9079
test,Enlarged Cardiomediastinum,0.12092696629213483,0.7396907216494846,0.20787059391598262,0.7576396606647944,1164,17727,861,6259,303,11468
test,Cardiomegaly,0.37328441364315806,0.7662482566248257,0.5020102339181287,0.8067455793946677,3585,15306,2747,4612,838,10694
test,Lung Opacity,0.3526420243115852,0.6957905041605482,0.4680605861047086,0.7320031596924153,4086,14805,2843,5219,1243,9586
test,Lung Lesion,0.0699539327759768,0.6307692307692307,0.1259407157118722,0.7154056162575433,650,18241,410,5451,240,12790
test,Edema,0.39373297002724794,0.803894297635605,0.528577960676726,0.8721456479647687,2876,16015,2312,3560,564,12455
test,Consolidation,0.11616547092047015,0.7424390243902439,0.2008975712777191,0.7679025427778068,1025,17866,761,5790,264,12076
test,Pneumonia,0.2488956377691883,0.6534976440739398,0.3604918524442667,0.7191758401847318,2759,16132,1803,5441,956,10691
test,Atelectasis,0.40819361817198485,0.7564520170383363,0.5302537981909194,0.7994301608148535,3991,14900,3019,4377,972,10523
test,Pneumothorax,0.17503740115409275,0.8125,0.2880253209073325,0.8754085750499944,1008,17883,819,3860,189,14023
test,Pleural Effusion,0.5576466866993516,0.8221030543250175,0.6645307199396909,0.8909384237185496,4289,14602,3526,2797,763,11805
test,Pleural Other,0.033626173886701,0.502262443438914,0.06303236797274277,0.7604393527012386,221,18670,111,3190,110,15480
test,Fracture,0.04099984758420972,0.5723404255319149,0.07651827620537618,0.6603148926930065,470,18421,269,6292,201,12129
test,Support Devices,0.6004581151832461,0.843096714909258,0.7013855709507884,0.9046714146030854,4353,14538,3670,2442,683,12096
