split,pathology,precision,recall,f1,auroc,support_pos,support_neg,tp,fp,fn,tn
val,No Finding,0.692880744968459,0.800291444035806,0.7427228232869654,0.864105976971874,14411,24041,11533,5112,2878,18929
val,Enlarged Cardiomediastinum,0.11587445194515972,0.7067062818336163,0.1991031390134529,0.7418285780928278,2356,36096,1665,12704,691,23392
val,Cardiomegaly,0.38901616809583034,0.7628032345013477,0.5152592335703139,0.8038139662938756,7791,30661,5943,9334,1848,21327
val,Lung Opacity,0.3787489788773486,0.7374460349920473,0.5004626060138783,0.7515350949289847,8802,29650,6491,10647,2311,19003
val,Lung Lesion,0.07905553126366419,0.6584122359796067,0.14116177389131793,0.7578118329150842,1373,37079,904,10531,469,26548
val,Edema,0.393734056122449,0.8259197324414715,0.5332541567695962,0.8772537296861262,5980,32472,4939,7605,1041,24867
val,Consolidation,0.1265090010589481,0.7818499127399651,0.21777966822628667,0.7841399577599655,2292,36160,1792,12373,500,23787
val,Pneumonia,0.26764980648605363,0.6931052358735096,0.3861743609493092,0.7444129286756227,5787,32665,4011,10975,1776,21690
val,Atelectasis,0.44383325601431506,0.7750260386529337,0.5644332069110831,0.8166125679851576,8641,29811,6697,8392,1944,21419
val,Pneumothorax,0.16641337386018237,0.770674486803519,0.27372148734506824,0.8843026825179416,1705,36747,1314,6582,391,30165
val,Pleural Effusion,0.6116662793399954,0.8526997840172786,0.7123460688348594,0.9153715354868075,9260,29192,7896,5013,1364,24179
val,Pleural Other,0.04800783801436969,0.5856573705179283,0.08874132206459401,0.8183699982677983,502,37950,294,5830,208,32120
val,Fracture,0.039850771578768866,0.5371428571428571,0.07419685847343911,0.6647851459289307,875,37577,470,11324,405,26253
val,Support Devices,0.6326630701324178,0.872899515055825,0.7336145206388324,0.9191683328714791,8867,29585,7740,4494,1127,25091
test,No Finding,0.6949029126213592,0.8052313317395584,0.7460100319197447,0.8692357234147149,7111,11780,5726,2514,1385,9266
test,Enlarged Cardiomediastinum,0.1237491190979563,0.7542955326460481,0.21261653953263107,0.7661091803386102,1164,17727,878,6217,286,11510
test,Cardiomegaly,0.38789488398098965,0.7740585774058577,0.5168078964521836,0.8189160101844274,3585,15306,2775,4379,810,10927
test,Lung Opacity,0.3614545454545455,0.7298091042584435,0.4834630350194553,0.7518841199254859,4086,14805,2982,5268,1104,9537
test,Lung Lesion,0.07296360485268631,0.6476923076923077,0.1311526479750779,0.7438087908473303,650,18241,421,5349,229,12892
test,Edema,0.4148710702931826,0.816759388038943,0.55024595924104,0.8884821666231719,2876,16015,2349,3313,527,12702
test,Consolidation,0.12101143889223359,0.784390243902439,0.20967531620811056,0.786673528954029,1025,17866,804,5840,221,12026
test,Pneumonia,0.27067561776889015,0.6868430590793766,0.38831967213114754,0.7531746518191214,2759,16132,1895,5106,864,11026
test,Atelectasis,0.42310901001112344,0.7624655474818341,0.5442189036931057,0.8123560729762771,3991,14900,3043,4149,948,10751
test,Pneumothorax,0.19659117441045995,0.8353174603174603,0.31827631827631825,0.9011145472466979,1008,17883,842,3441,166,14442
test,Pleural Effusion,0.5877531340405014,0.8526463044998834,0.6958424507658644,0.9142378107752417,4289,14602,3657,2565,632,12037
test,Pleural Other,0.04046062869592281,0.5882352941176471,0.075713453698311,0.8130672770941841,221,18670,130,3083,91,15587
test,Fracture,0.045644487303117966,0.6042553191489362,0.0848774656306037,0.693344032654683,470,18421,284,5938,186,12483
test,Support Devices,0.6432838368322239,0.8658396508155295,0.7381511946729338,0.9215627133934858,4353,14538,3769,2090,584,12448
