nivel,categoria,final_disenado_sucio_P,final_disenado_sucio_R,final_disenado_sucio_F1,final_disenado_limpio_P,final_disenado_limpio_R,final_disenado_limpio_F1,final_nuevo_sucio_P,final_nuevo_sucio_R,final_nuevo_sucio_F1,final_nuevo_limpio_P,final_nuevo_limpio_R,final_nuevo_limpio_F1
por_patologia,No Finding,0.3566,0.2292,0.2791,0.4024,0.6082,0.4843,0.4874,0.5075,0.4972,0.476,0.5061,0.4906
por_patologia,Enlarged Cardiomediastinum,0.1452,0.0077,0.0147,0.102,0.0043,0.0082,0.1062,0.2105,0.1412,0.1176,0.0859,0.0993
por_patologia,Cardiomegaly,0.2078,0.8156,0.3312,0.1839,0.957,0.3086,0.1751,0.8109,0.288,0.1504,0.4008,0.2187
por_patologia,Lung Opacity,0.2747,0.0886,0.134,0.2168,0.3977,0.2806,0.2345,0.6596,0.346,0.1652,0.279,0.2075
por_patologia,Lung Lesion,0.0229,0.0862,0.0362,0.0341,0.5031,0.0638,0.0319,0.1785,0.0541,0.0303,0.1831,0.052
por_patologia,Edema,0.1538,0.0278,0.0471,0.1391,0.177,0.1558,0.1142,0.1443,0.1275,0.0925,0.2041,0.1273
por_patologia,Consolidation,0.0969,0.0556,0.0707,0.0533,0.3259,0.0915,0.0481,0.6059,0.0891,0.0355,0.1941,0.06
por_patologia,Pneumonia,0.1691,0.0381,0.0621,0.1667,0.0319,0.0535,0.1714,0.013,0.0243,0.1942,0.0072,0.014
por_patologia,Atelectasis,0.2007,0.0288,0.0504,0.1836,0.1579,0.1697,0.1887,0.659,0.2934,0.1396,0.2205,0.171
por_patologia,Pneumothorax,0.0474,0.7401,0.0892,0.0457,0.8075,0.0864,0.0275,0.2688,0.0499,0.0461,0.754,0.0869
por_patologia,Pleural Effusion,0.2922,0.0674,0.1095,0.2246,0.2035,0.2136,0.1617,0.0779,0.1051,0.1698,0.2068,0.1865
por_patologia,Pleural Other,0.0085,0.0769,0.0153,0.0111,0.7421,0.0219,0.0118,0.9683,0.0234,0.0096,0.3801,0.0188
por_patologia,Fracture,0.0137,0.0021,0.0037,0.0,0.0,,0.0172,0.0851,0.0286,0.0177,0.0851,0.0293
por_patologia,Support Devices,0.5076,0.0386,0.0717,0.1931,0.1916,0.1923,0.2202,0.3133,0.2587,0.2023,0.6299,0.3062
general,MICRO (pooled 14 clases),0.1494,0.1745,0.161,0.1378,0.3714,0.201,0.14,0.4123,0.2091,0.1348,0.3351,0.1923
general,MACRO (nanmean 14 clases),0.1784,0.1645,0.0939,0.1397,0.3648,0.1639,0.1426,0.393,0.1662,0.1319,0.2955,0.1477
