Step,Train_Loss,Val_Loss,BLEU-4,ROUGE-L
125,0.6392,0.35331952571868896,0.0,0.0
250,0.2825,0.32461977005004883,0.0,0.0
375,0.2669,0.3207017481327057,0.0,0.0
500,0.2665,0.31920480728149414,0.0,0.0
625,0.264,0.31809523701667786,0.0,0.0
750,0.2663,0.31732431054115295,0.0,0.0
875,0.2609,0.31778958439826965,0.0,0.0
1000,0.2602,0.3172375559806824,0.0,0.0
1125,0.2627,0.31639835238456726,0.0,0.0
1250,0.2585,0.31613466143608093,0.0,0.0
1375,0.2561,0.3173593580722809,0.0,0.0
1500,0.2593,0.31626200675964355,0.0,0.0
1625,0.2565,0.31776565313339233,0.0,0.0
1750,0.2536,0.31726592779159546,0.0,0.0
1875,0.257,0.31643563508987427,0.0,0.0
2000,0.2576,0.3168242871761322,0.0,0.0
2125,0.2524,0.31798210740089417,0.0,0.0
2250,0.2523,0.31799235939979553,0.0,0.0
2375,0.2546,0.31798601150512695,0.0,0.0
2500,0.2439,0.3186984658241272,0.0,0.0
