nivel,categoria,disenado_sucio_P,disenado_sucio_R,disenado_sucio_F1,disenado_limpio_P,disenado_limpio_R,disenado_limpio_F1,nuevo_sucio_P,nuevo_sucio_R,nuevo_sucio_F1,nuevo_limpio_P,nuevo_limpio_R,nuevo_limpio_F1
por_patologia,No Finding,0.4575,0.3168,0.3744,0.448,0.4298,0.4387,0.4099,0.3722,0.3902,0.4119,0.5584,0.4741
por_patologia,Enlarged Cardiomediastinum,0.0977,0.5034,0.1636,0.0942,0.457,0.1562,0.1055,0.4519,0.171,0.1147,0.3574,0.1736
por_patologia,Cardiomegaly,0.1482,0.448,0.2227,0.1452,0.4363,0.2179,0.162,0.5462,0.2499,0.1556,0.557,0.2433
por_patologia,Lung Opacity,0.1921,0.3989,0.2593,0.2313,0.4102,0.2958,0.2096,0.5563,0.3045,0.2228,0.5651,0.3196
por_patologia,Lung Lesion,0.0331,0.4862,0.0619,0.0336,0.4262,0.0622,0.033,0.5292,0.0621,0.0313,0.46,0.0586
por_patologia,Edema,0.2856,0.1652,0.2093,0.271,0.2952,0.2826,0.2776,0.0761,0.1195,0.1958,0.1763,0.1855
por_patologia,Consolidation,0.0533,0.4663,0.0956,0.0567,0.4478,0.1007,0.0506,0.4654,0.0914,0.0509,0.3961,0.0901
por_patologia,Pneumonia,0.1681,0.2765,0.2091,0.1648,0.2813,0.2078,0.1712,0.1348,0.1509,0.1705,0.1783,0.1743
por_patologia,Atelectasis,0.1593,0.2676,0.1997,0.1786,0.328,0.2313,0.1777,0.3844,0.243,0.1902,0.4568,0.2686
por_patologia,Pneumothorax,0.0269,0.1052,0.0428,0.0264,0.0744,0.0389,0.0395,0.1558,0.0631,0.0424,0.2054,0.0703
por_patologia,Pleural Effusion,0.2676,0.505,0.3498,0.297,0.492,0.3704,0.2754,0.5143,0.3587,0.266,0.509,0.3494
por_patologia,Pleural Other,0.0121,0.5837,0.0238,0.0115,0.6471,0.0226,0.0114,0.5023,0.0224,0.0115,0.5837,0.0225
por_patologia,Fracture,0.0219,0.334,0.041,0.0212,0.2766,0.0394,0.0252,0.317,0.0466,0.0244,0.1936,0.0433
por_patologia,Support Devices,0.2513,0.5771,0.3501,0.2583,0.617,0.3642,0.2961,0.4222,0.3481,0.2632,0.4638,0.3358
general,MICRO (pooled 14 clases),0.1403,0.379,0.2048,0.1549,0.4161,0.2258,0.1486,0.394,0.2159,0.1608,0.4483,0.2367
general,MACRO (nanmean 14 clases),0.1553,0.3881,0.1859,0.1598,0.4013,0.202,0.1603,0.3877,0.1872,0.1536,0.4044,0.2006
