categoria,precision_limpio,recall_limpio,f1_limpio,precision_sucio,recall_sucio,f1_sucio
No Finding,0.46772111039380243,0.40753761777527775,0.4355602314571278,0.45746192893401016,0.31683307551680495,0.3743768693918246
Enlarged Cardiomediastinum,0.09252217997465145,0.5017182130584192,0.15623327982878546,0.09766666666666667,0.5034364261168385,0.16359575656058067
Cardiomegaly,0.14607275144838067,0.4290097629009763,0.21793963440555478,0.14820967146548542,0.4479776847977685,0.2227307398932113
Lung Opacity,0.23847323087316333,0.3455702398433676,0.28220245827920454,0.19210371243370655,0.398923152227117,0.25932702251213113
Lung Lesion,0.032903302165936794,0.4276923076923077,0.06110561600175843,0.0330820770519263,0.48615384615384616,0.06194863752205449
Edema,0.3031536113936928,0.20723226703755215,0.24617926476662538,0.285628382441371,0.16515994436717663,0.20929720202687815
Consolidation,0.052738680685094116,0.30341463414634146,0.08985842242126553,0.053276861346411054,0.46634146341463417,0.09562868860658197
Pneumonia,0.17143587123147674,0.24320405944182674,0.2011089465008242,0.16813574261789335,0.2765494744472635,0.2091270385089763
Atelectasis,0.15016501650165018,0.250814332247557,0.1878577460823872,0.15926036385326572,0.2676021047356552,0.1996821538749182
Pneumothorax,0.03843730308758664,0.12103174603174603,0.05834528933524629,0.026869455006337136,0.10515873015873016,0.042802342014940445
Pleural Effusion,0.2790933265797138,0.5138726975985078,0.3617265714754636,0.2676056338028169,0.5050128235019818,0.34983445045627065
Pleural Other,0.010616410172002304,0.583710407239819,0.020853540252182345,0.012121781619996242,0.583710407239819,0.023750345208505937
Fracture,0.022530916483144165,0.28297872340425534,0.041738584654009106,0.021851078636047322,0.33404255319148934,0.04101894186806009
Support Devices,0.2828282828282828,0.5853434413048473,0.3813800329292022,0.25130052020808324,0.5770732827934758,0.3501289288452157
