categoria,n,gt_pos,pred_pos,matches,exact_matches,TP,FP,FN,TN,precision,recall,f1
No Finding,19137,7111,6196,11626,7416,2898,3298,4213,8728,0.46772111039380243,0.40753761777527775,0.4355602314571278
Enlarged Cardiomediastinum,19137,1164,6312,12829,10450,584,5728,580,12245,0.09252217997465145,0.5017182130584192,0.15623327982878546
Cardiomegaly,19137,3585,10529,8099,6753,1538,8991,2047,6561,0.14607275144838067,0.4290097629009763,0.21793963440555478
Lung Opacity,19137,4086,5921,11954,9476,1412,4509,2674,10542,0.23847323087316333,0.3455702398433676,0.28220245827920454
Lung Lesion,19137,650,8449,10594,627,278,8171,372,10316,0.032903302165936794,0.4276923076923077,0.06110561600175843
Edema,19137,2876,1966,15487,13418,596,1370,2280,14891,0.3031536113936928,0.20723226703755215,0.24617926476662538
Consolidation,19137,1025,5897,12837,6725,311,5586,714,12526,0.052738680685094116,0.30341463414634146,0.08985842242126553
Pneumonia,19137,2759,3914,13806,11128,671,3243,2088,13135,0.17143587123147674,0.24320405944182674,0.2011089465008242
Atelectasis,19137,3991,6666,10482,5929,1001,5665,2990,9481,0.15016501650165018,0.250814332247557,0.1878577460823872
Pneumothorax,19137,1008,3174,15199,5082,122,3052,886,15077,0.03843730308758664,0.12103174603174603,0.05834528933524629
Pleural Effusion,19137,4289,7897,11359,8531,2204,5693,2085,9155,0.2790933265797138,0.5138726975985078,0.3617265714754636
Pleural Other,19137,221,12151,7023,6584,129,12022,92,6894,0.010616410172002304,0.583710407239819,0.020853540252182345
Fracture,19137,470,5903,13030,6741,133,5770,337,12897,0.022530916483144165,0.28297872340425534,0.041738584654009106
Support Devices,19137,4353,9009,10871,10743,2548,6461,1805,8323,0.2828282828282828,0.5853434413048473,0.3813800329292022
