categoria,n,gt_pos,pred_pos,matches,exact_matches,TP,FP,FN,TN,precision,recall,f1
No Finding,19137,7111,4925,11607,8090,2253,2672,4858,9354,0.45746192893401016,0.31683307551680495,0.3743768693918246
Enlarged Cardiomediastinum,19137,1164,6000,13145,10588,586,5414,578,12559,0.09766666666666667,0.5034364261168385,0.16359575656058067
Cardiomegaly,19137,3585,10836,7928,6551,1606,9230,1979,6322,0.14820967146548542,0.4479776847977685,0.2227307398932113
Lung Opacity,19137,4086,8485,9826,6989,1630,6855,2456,8196,0.19210371243370655,0.398923152227117,0.25932702251213113
Lung Lesion,19137,650,9552,9567,983,316,9236,334,9251,0.0330820770519263,0.48615384615384616,0.06194863752205449
Edema,19137,2876,1663,15548,13413,475,1188,2401,15073,0.285628382441371,0.16515994436717663,0.20929720202687815
Consolidation,19137,1025,8972,10096,6115,478,8494,547,9618,0.053276861346411054,0.46634146341463417,0.09562868860658197
Pneumonia,19137,2759,4538,13366,10733,763,3775,1996,12603,0.16813574261789335,0.2765494744472635,0.2091270385089763
Atelectasis,19137,3991,6706,10576,6057,1068,5638,2923,9508,0.15926036385326572,0.2676021047356552,0.1996821538749182
Pneumothorax,19137,1008,3945,14396,6233,106,3839,902,14290,0.026869455006337136,0.10515873015873016,0.042802342014940445
Pleural Effusion,19137,4289,8094,11086,8081,2166,5928,2123,8920,0.2676056338028169,0.5050128235019818,0.34983445045627065
Pleural Other,19137,221,10642,8532,7967,129,10513,92,8403,0.012121781619996242,0.583710407239819,0.023750345208505937
Fracture,19137,470,7185,11796,6333,157,7028,313,11639,0.021851078636047322,0.33404255319148934,0.04101894186806009
Support Devices,19137,4353,9996,9812,9683,2512,7484,1841,7300,0.25130052020808324,0.5770732827934758,0.3501289288452157
