# Audit Log — Fase 2.1 — Config_B2
# Iniciado: 2026-05-27 21:39:05
# Columnas por entrada: Step | BLEU-4 | ROUGE-L | Pred | Real


────────────────────────────────────────────────────────────────────────────────────────────────────
Step=50 | Error en muestra 559: You have to specify pixel_values
Step=50 | Error en muestra 33: You have to specify pixel_values
Step=50 | Error en muestra 275: You have to specify pixel_values
Step=50 | Error en muestra 198: You have to specify pixel_values
Step=50 | Error en muestra 192: You have to specify pixel_values
Step=50 | Error en muestra 155: You have to specify pixel_values
Step=50 | Error en muestra 39: You have to specify pixel_values
Step=50 | Error en muestra 223: You have to specify pixel_values
Step=50 | Error en muestra 658: You have to specify pixel_values
Step=50 | Error en muestra 174: You have to specify pixel_values

────────────────────────────────────────────────────────────────────────────────────────────────────
Step=100 | Error en muestra 57: You have to specify pixel_values
Step=100 | Error en muestra 184: You have to specify pixel_values
Step=100 | Error en muestra 403: You have to specify pixel_values
Step=100 | Error en muestra 67: You have to specify pixel_values
Step=100 | Error en muestra 220: You have to specify pixel_values
Step=100 | Error en muestra 494: You have to specify pixel_values
Step=100 | Error en muestra 430: You have to specify pixel_values
Step=100 | Error en muestra 240: You have to specify pixel_values
Step=100 | Error en muestra 218: You have to specify pixel_values
Step=100 | Error en muestra 49: You have to specify pixel_values

────────────────────────────────────────────────────────────────────────────────────────────────────
Step=150 | Error en muestra 262: You have to specify pixel_values
Step=150 | Error en muestra 186: You have to specify pixel_values
Step=150 | Error en muestra 240: You have to specify pixel_values
Step=150 | Error en muestra 15: You have to specify pixel_values
Step=150 | Error en muestra 564: You have to specify pixel_values
Step=150 | Error en muestra 632: You have to specify pixel_values
Step=150 | Error en muestra 366: You have to specify pixel_values
Step=150 | Error en muestra 607: You have to specify pixel_values
Step=150 | Error en muestra 621: You have to specify pixel_values
Step=150 | Error en muestra 665: You have to specify pixel_values

────────────────────────────────────────────────────────────────────────────────────────────────────
Step=200 | Error en muestra 92: You have to specify pixel_values
Step=200 | Error en muestra 305: You have to specify pixel_values
Step=200 | Error en muestra 427: You have to specify pixel_values
Step=200 | Error en muestra 617: You have to specify pixel_values
Step=200 | Error en muestra 586: You have to specify pixel_values
Step=200 | Error en muestra 620: You have to specify pixel_values
Step=200 | Error en muestra 523: You have to specify pixel_values
Step=200 | Error en muestra 589: You have to specify pixel_values
Step=200 | Error en muestra 209: You have to specify pixel_values
Step=200 | Error en muestra 332: You have to specify pixel_values

────────────────────────────────────────────────────────────────────────────────────────────────────
Step=250 | Error en muestra 260: You have to specify pixel_values
Step=250 | Error en muestra 593: You have to specify pixel_values
Step=250 | Error en muestra 622: You have to specify pixel_values
Step=250 | Error en muestra 42: You have to specify pixel_values
Step=250 | Error en muestra 130: You have to specify pixel_values
Step=250 | Error en muestra 478: You have to specify pixel_values
Step=250 | Error en muestra 553: You have to specify pixel_values
Step=250 | Error en muestra 699: You have to specify pixel_values
Step=250 | Error en muestra 429: You have to specify pixel_values
Step=250 | Error en muestra 344: You have to specify pixel_values

────────────────────────────────────────────────────────────────────────────────────────────────────
Step=300 | Error en muestra 656: You have to specify pixel_values
Step=300 | Error en muestra 236: You have to specify pixel_values
Step=300 | Error en muestra 675: You have to specify pixel_values
Step=300 | Error en muestra 235: You have to specify pixel_values
Step=300 | Error en muestra 258: You have to specify pixel_values
Step=300 | Error en muestra 324: You have to specify pixel_values
Step=300 | Error en muestra 283: You have to specify pixel_values
Step=300 | Error en muestra 499: You have to specify pixel_values
Step=300 | Error en muestra 723: You have to specify pixel_values
Step=300 | Error en muestra 610: You have to specify pixel_values

────────────────────────────────────────────────────────────────────────────────────────────────────
Step=350 | Error en muestra 594: You have to specify pixel_values
Step=350 | Error en muestra 269: You have to specify pixel_values
Step=350 | Error en muestra 730: You have to specify pixel_values
Step=350 | Error en muestra 712: You have to specify pixel_values
Step=350 | Error en muestra 224: You have to specify pixel_values
Step=350 | Error en muestra 616: You have to specify pixel_values
Step=350 | Error en muestra 542: You have to specify pixel_values
Step=350 | Error en muestra 452: You have to specify pixel_values
Step=350 | Error en muestra 692: You have to specify pixel_values
Step=350 | Error en muestra 286: You have to specify pixel_values

────────────────────────────────────────────────────────────────────────────────────────────────────
Step=400 | Error en muestra 702: You have to specify pixel_values
Step=400 | Error en muestra 39: You have to specify pixel_values
Step=400 | Error en muestra 113: You have to specify pixel_values
Step=400 | Error en muestra 691: You have to specify pixel_values
Step=400 | Error en muestra 546: You have to specify pixel_values
Step=400 | Error en muestra 151: You have to specify pixel_values
Step=400 | Error en muestra 177: You have to specify pixel_values
Step=400 | Error en muestra 139: You have to specify pixel_values
Step=400 | Error en muestra 649: You have to specify pixel_values
Step=400 | Error en muestra 153: You have to specify pixel_values

────────────────────────────────────────────────────────────────────────────────────────────────────
Step=450 | Error en muestra 416: You have to specify pixel_values
Step=450 | Error en muestra 249: You have to specify pixel_values
Step=450 | Error en muestra 575: You have to specify pixel_values
Step=450 | Error en muestra 141: You have to specify pixel_values
