Step,Val_Loss,BLEU-4,ROUGE-L
50,0.36047595739364624,0.0,0.0
100,0.3191307783126831,0.0,0.0
150,0.3095206916332245,0.0,0.0
200,0.3064515292644501,0.0,0.0
250,0.3040773570537567,0.0,0.0
300,0.30283689498901367,0.0,0.0
350,0.3029324412345886,0.0,0.0
400,0.30220943689346313,0.0,0.0
450,0.3019857406616211,0.0,0.0
500,0.3024665117263794,0.0,0.0
550,0.30308377742767334,0.0,0.0
600,0.3034963011741638,0.0,0.0
650,0.30290499329566956,0.0,0.0
700,0.3051804006099701,0.0,0.0
750,0.3040590286254883,0.0,0.0
800,0.3045494556427002,0.0,0.0
850,0.3060680031776428,0.0,0.0
900,0.30681538581848145,0.0,0.0
950,0.306532084941864,0.0,0.0
