Step,Val_Loss,BLEU-4,ROUGE-L
50,0.34871405363082886,0.0,0.0
100,0.31446656584739685,0.0,0.0
150,0.30716362595558167,0.0,0.0
200,0.3052135109901428,0.0,0.0
250,0.3032950162887573,0.0,0.0
300,0.3020429015159607,0.0,0.0
350,0.3027092218399048,0.0,0.0
400,0.3015846610069275,0.0,0.0
450,0.3011023700237274,0.0,0.0
500,0.30175551772117615,0.0,0.0
550,0.3035614788532257,0.0,0.0
600,0.3037288188934326,0.0,0.0
650,0.30186712741851807,0.0,0.0
700,0.3060723841190338,0.0,0.0
750,0.304036408662796,0.0,0.0
800,0.3066975772380829,0.0,0.0
850,0.3088506758213043,0.0,0.0
900,0.30961543321609497,0.0,0.0
950,0.30872830748558044,0.0,0.0
